品牌,车型,销量,价格,能源类型
比亚迪,海豚,28934,11.98,电车
比亚迪,唐DM-i,15678,26.98,混动
比亚迪,驱逐舰05,18976,13.98,混动
特斯拉,Model S,3210,78.99,电车
特斯拉,Model X,2543,87.99,电车
大众,途观L,14321,22.98,油车
大众,高尔夫,10234,14.98,油车
大众,探岳,11876,21.79,油车
丰田,亚洲龙,12345,22.98,油车
丰田,锋兰达,11098,14.58,油车
丰田,威兰达,9876,19.08,油车
宝马,X5,5432,61.50,油车
宝马,X1,7654,29.99,油车
宝马,i3,4321,37.98,电车
奔驰,GLE,3210,71.98,油车
奔驰,A级,6543,25.13,油车
奔驰,EQB,2876,39.98,电车
本田,型格,11234,14.99,油车
本田,XR-V,9876,13.99,油车
本田,皓影,10234,19.99,油车
吉利,帝豪L,8765,10.98,油车
吉利,星越L,10234,18.97,油车
吉利,极氪001,7654,30.00,电车
理想,L6,20345,27.98,混动
蔚来,ET7,3456,45.80,电车
蔚来,ES8,2876,52.80,电车
小鹏,G9,4567,30.99,电车
小鹏,X9,3210,38.98,电车
问界,M5,8765,26.98,混动
长安,UNI-V,9876,11.99,油车
长安,CS75PLUS,14321,12.49,油车
长安,启源A07,6543,15.59,电车
日产,逍客,9876,15.49,油车
奥迪,A4L,8765,34.98,油车
奥迪,Q3,6543,29.98,油车
红旗,H9,3456,32.98,油车
红旗,HS5,6543,20.98,油车
奇瑞,艾瑞泽8,8765,12.99,油车
奇瑞,瑞虎9,5432,17.49,油车
哈弗,大狗,12345,13.99,油车
哈弗,猛龙,7654,16.98,混动
领克,03,6543,15.48,油车
领克,08 EM-P,8765,22.88,混动
沃尔沃,XC60,4321,39.99,油车
凯迪拉克,CT5,5432,28.97,油车
